Date,Open,High,Low,Close,Adj Close,Volume
2013-12-05,43.950001,44.779999,43.560001,43.959999,38.656544,1021000
2013-12-06,44.900002,45.259998,44.020000,44.150002,38.823620,715900
2013-12-09,44.310001,45.250000,44.180000,45.220001,39.764534,691600
2013-12-10,46.799999,48.950001,46.520000,47.500000,41.769478,1454800
2013-12-11,47.400002,47.770000,45.490002,45.580002,40.081104,824700
2013-12-12,44.770000,45.220001,44.099998,44.990002,39.562283,722000
2013-12-13,45.599998,45.889999,44.939999,45.320000,39.852478,447100
2013-12-16,45.450001,46.200001,45.230000,45.720001,40.204224,644500
2013-12-17,45.450001,46.080002,45.000000,45.490002,40.001972,526900
2013-12-18,45.540001,46.290001,44.660000,44.849998,39.439175,836000
2013-12-19,43.980000,44.230000,43.430000,43.540001,38.287220,877400
2013-12-20,43.720001,44.180000,43.419998,44.060001,38.744484,1692300
2013-12-23,44.070000,44.310001,43.599998,44.259998,38.920345,561000
2013-12-24,44.240002,45.939999,44.160000,45.820000,40.292160,340100
2013-12-26,46.110001,46.950001,45.450001,46.020000,40.468014,451300
2013-12-27,46.279999,46.770000,45.939999,46.720001,41.083569,471800
2013-12-30,46.189999,46.509998,45.009998,45.099998,39.659012,786100
2013-12-31,44.799999,46.189999,44.290001,46.070000,40.701511,728300
2014-01-02,47.099998,49.250000,47.020000,49.040001,43.325420,1168200
2014-01-03,49.380001,49.790001,48.599998,49.049999,43.334248,968500
2014-01-06,49.250000,49.450001,48.740002,49.060001,43.343094,812100
2014-01-07,48.509998,49.110001,47.910000,49.070000,43.351925,619700
2014-01-08,48.520000,48.810001,47.730000,48.439999,42.795349,685500
2014-01-09,48.340000,48.689999,48.029999,48.220001,42.600975,545500
2014-01-10,48.959999,51.119999,48.509998,50.930000,44.995174,956900
2014-01-13,51.310001,51.439999,50.029999,51.389999,45.401577,685800
2014-01-14,51.430000,53.150002,50.869999,51.270000,45.295547,1128200
2014-01-15,51.259998,52.700001,51.009998,52.650002,46.514744,631300
2014-01-16,53.200001,53.459999,52.439999,53.200001,47.000648,570000
2014-01-17,53.500000,55.020000,53.400002,53.610001,47.362881,1098300
2014-01-21,54.639999,56.230000,53.709999,56.099998,49.562729,1406800
2014-01-22,56.279999,56.490002,54.310001,54.840000,48.449554,821300
2014-01-23,55.639999,56.740002,55.250000,56.049999,49.518539,818100
2014-01-24,56.720001,57.520000,54.919998,55.990002,49.465542,990200
2014-01-27,56.040001,56.049999,54.209999,54.369999,48.034317,980700
2014-01-28,54.369999,55.369999,53.270000,55.209999,48.776436,1076600
2014-01-29,56.200001,56.520000,54.560001,55.630001,49.147495,1166700
2014-01-30,54.000000,54.330002,53.020000,53.650002,47.398235,1034100
2014-01-31,54.240002,56.250000,53.490002,55.939999,49.421375,1228200
2014-02-03,56.689999,56.990002,54.770000,54.849998,48.458393,1393700
2014-02-04,54.709999,56.799999,54.209999,56.730000,50.119316,1060800
2014-02-05,57.799999,59.259998,56.799999,58.869999,52.009933,1856800
2014-02-06,59.310001,59.910000,58.630001,58.889999,52.027607,1306600
2014-02-07,59.220001,61.709999,58.919998,61.549999,54.377651,1231900
2014-02-10,62.470001,63.669998,62.000000,62.540001,55.252285,1475300
2014-02-11,63.630001,65.949997,63.240002,65.199997,57.602318,1524600
2014-02-12,64.580002,64.900002,62.799999,63.230000,55.861877,1472100
2014-02-13,63.209999,66.080002,63.209999,65.889999,58.211903,963500
2014-02-14,67.080002,68.940002,65.260002,66.809998,59.024712,1478500
2014-02-18,67.360001,67.699997,66.000000,67.320000,59.475269,1172300
2014-02-19,66.739998,67.629997,65.440002,65.750000,58.088226,976100
2014-02-20,65.669998,67.889999,65.279999,67.830002,59.925850,875200
2014-02-21,67.949997,68.040001,66.160004,67.110001,59.289745,1466100
2014-02-24,68.019997,69.480003,67.550003,68.000000,60.076019,994100
2014-02-25,67.250000,68.050003,65.839996,66.800003,59.015869,1189100
2014-02-26,67.019997,68.940002,66.800003,67.820000,59.916981,1009500
2014-02-27,67.839996,69.080002,67.410004,68.389999,60.420578,762500
2014-02-28,68.570000,69.349998,68.010002,68.709999,60.703304,841800
2014-03-03,69.750000,70.440002,68.410004,68.870003,60.844635,873100
2014-03-04,68.389999,69.500000,67.680000,69.029999,60.986004,646500
2014-03-05,69.099998,69.849998,68.290001,69.010002,60.968342,630500
2014-03-06,69.190002,70.239998,68.910004,70.059998,61.895973,683700
2014-03-07,69.010002,69.269997,67.400002,68.769997,60.756310,733100
2014-03-10,68.379997,69.050003,67.610001,68.809998,60.791626,693200
2014-03-11,69.320000,69.800003,67.809998,68.720001,60.712128,649300
2014-03-12,69.699997,70.559998,69.309998,70.500000,62.284714,850700
2014-03-13,70.489998,72.570000,69.730003,71.940002,63.556904,1101000
2014-03-14,72.300003,72.900002,71.080002,71.190002,62.894299,973000
2014-03-17,71.570000,72.230003,70.529999,70.629997,62.399567,931500
2014-03-18,69.709999,71.389999,69.160004,70.500000,62.284714,791200
2014-03-19,69.559998,70.410004,68.279999,68.500000,60.517754,1085900
2014-03-20,67.779999,69.830002,67.269997,69.190002,61.127365,731200
2014-03-21,69.980003,70.870003,68.330002,68.379997,60.411739,1624200
2014-03-24,67.410004,67.599998,63.709999,63.980000,56.524471,1375300
2014-03-25,64.209999,65.540001,64.040001,64.769997,57.222408,660100
2014-03-26,65.580002,65.580002,62.439999,62.509998,55.225761,949500
2014-03-27,62.049999,63.299999,62.020000,63.220001,55.853039,796100
2014-03-28,62.990002,64.169998,62.419998,63.500000,56.100414,627800
2014-03-31,63.380001,64.550003,62.389999,62.619999,55.322956,599400
2014-04-01,62.759998,63.669998,62.520000,63.139999,55.782356,624800
2014-04-02,63.919998,64.480003,63.520000,63.790001,56.544685,626500
2014-04-03,63.380001,63.520000,62.349998,63.000000,55.844410,712700
2014-04-04,64.260002,65.250000,63.669998,64.510002,57.182907,829100
2014-04-07,64.639999,65.830002,64.269997,64.839996,57.475407,901400
2014-04-08,65.720001,67.379997,65.629997,67.239998,59.602825,968000
2014-04-09,66.680000,67.800003,65.629997,67.029999,59.416679,605900
2014-04-10,67.220001,68.230003,66.309998,66.940002,59.336884,876100
2014-04-11,66.820000,67.889999,65.800003,66.040001,58.539120,448700
2014-04-14,66.940002,69.199997,66.360001,67.669998,59.983982,759200
2014-04-15,65.589996,66.489998,64.879997,66.120003,58.610054,774300
2014-04-16,66.059998,66.209999,64.790001,65.180000,57.776798,742800
2014-04-17,65.029999,65.730003,64.650002,64.699997,57.351330,448000
2014-04-21,65.050003,65.519997,62.560001,63.980000,56.713097,821100
2014-04-22,63.970001,64.980003,63.509998,64.620003,57.280430,607400
2014-04-23,64.610001,66.690002,64.410004,66.269997,58.742981,472000
2014-04-24,65.230003,66.800003,64.860001,65.120003,57.723614,495300
2014-04-25,65.589996,66.500000,65.190002,66.050003,58.547993,445700
2014-04-28,66.040001,66.330002,65.040001,65.489998,58.051601,417900
2014-04-29,65.519997,67.349998,65.449997,66.690002,59.115299,560800
2014-04-30,65.919998,66.519997,65.220001,66.199997,58.680954,645400
2014-05-01,65.089996,65.680000,64.000000,64.309998,57.005619,637900
2014-05-02,65.029999,66.839996,64.309998,66.790001,59.203949,485900
2014-05-05,67.949997,67.980003,65.760002,66.610001,59.044384,588300
2014-05-06,66.400002,66.620003,65.849998,66.230003,58.707550,463200
2014-05-07,66.050003,66.230003,63.930000,64.440002,57.120857,578200
2014-05-08,64.410004,65.690002,64.300003,64.790001,57.431110,444300
2014-05-09,64.720001,65.209999,63.750000,64.790001,57.431110,346600
2014-05-12,65.599998,66.559998,65.480003,65.860001,58.379566,405500
2014-05-13,65.860001,66.360001,64.550003,64.639999,57.298138,428200
2014-05-14,64.900002,65.300003,64.000000,64.129997,56.846058,425100
2014-05-15,63.919998,64.279999,63.549999,64.230003,56.934704,436500
2014-05-16,63.919998,64.129997,63.150002,63.639999,56.411713,420300
2014-05-19,64.000000,64.379997,63.639999,64.010002,56.739719,408700
2014-05-20,63.619999,64.820000,63.360001,64.029999,56.757427,468400
2014-05-21,63.980000,64.650002,63.459999,64.620003,57.280430,376300
2014-05-22,64.930000,64.980003,64.139999,64.190002,56.899235,329800
2014-05-23,64.070000,64.820000,63.869999,63.980000,56.713097,279300
2014-05-27,63.049999,63.520000,60.919998,61.139999,54.195671,916800
2014-05-28,60.730000,61.130001,58.860001,60.139999,53.309258,1017500
2014-05-29,60.160000,62.990002,60.139999,62.150002,55.090954,749600
2014-05-30,61.880001,62.790001,60.959999,62.720001,55.596214,667200
2014-06-02,62.500000,62.919998,61.770000,62.790001,55.658257,537800
2014-06-03,62.349998,62.900002,61.720001,62.630001,55.516434,468800
2014-06-04,62.680000,63.779999,62.290001,62.820000,55.684849,476200
2014-06-05,63.220001,65.370003,63.150002,65.029999,57.643845,947200
2014-06-06,65.080002,65.500000,63.520000,64.110001,56.828327,337200
2014-06-09,64.000000,64.239998,63.049999,63.080002,55.915314,294700
2014-06-10,63.349998,64.339996,63.049999,63.779999,56.535820,353700
